TEAM_ID,PLAYER_NAME,PLAYER_ID,TEAM_NBACOM,POS,ROLE,GP,MIN,POSS,PTS,REB,AST,STL,BLK,TOV,FG2_PCT,FG3_PCT,OREB,DREB,FG3A,AT_RIM_FGA,AT_RIM_FREQUENCY,AT_RIM_ACCURACY,MID_FGA,MID_FREQUENCY,MID_ACCURACY,THREE_FREQUENCY,THREE_ACCURACY,rTS,USG_PCT,BOX_CREATION,OFF_LOAD,FTA_RATE,OREB_PCT,DREB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT
1610612759,Mason Plumlee,203486,SAS,C,Big,14,125,263,26,40,16,6,0,9,0.75,0,10,30,0,11,0.917,0.818,1,0.083,0,0,0,19.4,8.9,0,0,1,9.2,26.5,16.5,2.4,0,34.2
1610612741,Matas Buzelis,1641824,CHI,PF,Forward,61,1742,3761,940,333,127,41,90,123,0.575,0.366,60,273,355,275,0.386,0.622,83,0.116,0.422,0.498,0.366,3.6,22.1,3.4,29.2,0.25,3.8,16.6,10.7,1.1,4.5,13.5
1610612757,Matisse Thybulle,1629680,POR,SG,Combo,10,122,273,55,17,8,18,7,6,0.5,0.5,5,12,22,10,0.294,0.6,2,0.059,0,0.647,0.5,15.8,14.7,2.3,20.1,0.294,4.3,10.8,9.3,7,5.1,13.5
1610612742,Max Christie,1631108,DAL,SG,Combo,55,1632,3491,724,191,120,30,18,67,0.524,0.421,12,179,315,96,0.177,0.698,129,0.238,0.395,0.584,0.421,6.1,16.8,2.6,23.1,0.194,0.8,11.3,10.2,0.9,0.9,10.2
1610612738,Max Shulga,1642917,BOS,SG,Point,1,2,4,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,-55.8,21.7,NA,NA,0,0,0,0,0,0,0
1610612747,Maxi Kleber,1628467,LAL,PF,Big,34,374,787,76,67,22,12,10,13,0.579,0.273,27,40,22,23,0.383,0.652,15,0.25,0.467,0.367,0.273,-1.3,9.7,0.3,12.8,0.367,8.8,12.2,7.4,1.6,2.5,15.7
1610612758,Maxime Raynaud,1642875,SAC,C,Big,54,1314,2780,564,384,61,26,25,56,0.595,0.244,108,276,45,128,0.298,0.719,257,0.598,0.533,0.105,0.244,4,17,1.5,21.7,0.219,8.9,24.3,6.9,1,1.7,10.6
1610612740,Micah Peavy,1642877,NOP,SG,Wing,48,698,1470,200,93,47,31,6,14,0.474,0.236,38,55,89,85,0.383,0.576,48,0.216,0.292,0.401,0.236,-12.1,14.5,0.9,19.5,0.068,5.8,8.6,9,2.1,0.8,5.8
1610612754,Micah Potter,1630695,IND,C,Big,28,557,1236,260,128,44,14,10,27,0.612,0.413,29,99,104,41,0.24,0.707,26,0.152,0.462,0.608,0.413,10.8,16.9,2.7,22.6,0.322,5.5,19.9,11.6,1.2,1.5,12.2
1610612751,Michael Porter Jr.,1629008,BKN,SF,Wing,48,1565,3197,1174,336,150,50,11,114,0.571,0.375,62,274,440,199,0.227,0.784,239,0.272,0.393,0.501,0.375,4.7,30.2,6.8,42.3,0.238,4.4,21.5,18.5,1.6,0.7,10.5
